{2012/04/07 16:31:16} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 16:36:59} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:05:08} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:05:09} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:06:04} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:06:05} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:06:36} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:06:36} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:07:06} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:07:06} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:09:38} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:09:38} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:10:07} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:10:07} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:10:13} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:10:13} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:10:43} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:10:44} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:10:52} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:10:52} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:11:16} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:11:16} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:11:24} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:11:25} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:12:30} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:12:31} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:13:17} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:13:18} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:14:34} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:14:35} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:15:00} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:15:01} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:15:28} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:15:28} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:15:41} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:15:41} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:16:49} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:16:50} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:17} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:17} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:23} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:24} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:40} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:40} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:52} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:52} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:03} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:04} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:24} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:24} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:56} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:57} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:21:13} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:21:13} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:21:27} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:21:28} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:21:37} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:21:37} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:22:10} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:22:11} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:22:16} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:22:20} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:22:41} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:22:42} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:26:36} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:26:36} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:26:48} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:26:49} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:27:29} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:27:30} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:30:48} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:30:48} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:33:45} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:33:47} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:34:58} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:34:59} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:35:22} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:35:23} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:39:50} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:39:51} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:48:50} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:48:51} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:49:42} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:49:42} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:49:47} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:49:47} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:50:18} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:50:18} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:53:01} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:53:01} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:54:19} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=T00:00:00Z, finalDate=T00:00:00Z) - begin 
{2012/04/07 17:54:19} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=T00:00:00Z, finalDate=T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [13010] - initialDate invalid format, use 'yyyy-MM-ddTHH:mm' (eg. 2010-01-27T17:25).[13011] - finalDate invalid format, use 'yyyy-MM-ddTHH:mm' (eg. 2010-01-27T17:25). 
{2012/04/07 17:56:43} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:56:44} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:57:11} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:57:11} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:59:10} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:59:10} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:59:16} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:59:17} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:02:11} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:02:11} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:03:06} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:03:07} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:03:14} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-03-08T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:03:15} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-03-08T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end PagSeguroTransactionSearchResult(Date=2012-04-07T13:03:15.000-03:00, CurrentPage=1, TotalPages=1, Transactions in this page=2) 
{2012/04/07 18:03:22} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-02-07T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:03:23} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-02-07T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:03:41} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:03:42} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:03:45} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:03:45} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 18:06:44} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 18:06:44} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/08 20:55:03} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/08 20:55:04} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/08 20:55:13} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-02-07T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/08 20:55:14} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-02-07T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/08 20:55:17} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-03-08T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/08 20:55:18} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2012-03-08T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end PagSeguroTransactionSearchResult(Date=2012-04-08T21:55:18.000-03:00, CurrentPage=1, TotalPages=1, Transactions in this page=2) 
